site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno,Vital_Rate_Barcode
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,17,GZSD,65,T,,1,3.00,,,,,,0,2713,VR100088
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,18,GZSD,67,T,,1,3.00,,,,,,0,2713,VR100089
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,19,GZSD,62,T,,1,2.00,,,,,,0,2713,VR100090
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,20,GZSD,69,T,,1,3.00,,,,,,0,2713,VR100091
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,32,GZSD,79,T,,1,5.00,,,,,,0,2713,VR100103
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,30,GZSD,58,T,,1,2.00,,,,,,0,2713,VR100101
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,31,GZSD,56,T,,1,2.00,,,,,,0,2713,VR100102
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,27,GZSD,58,T,,1,2.00,,,,,,0,2713,VR100098
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,21,GZSD,75,T,,1,4.00,,,,,,0,2713,VR100092
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,22,GZSD,65,T,,1,3.00,,,,,,0,2713,VR100093
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,23,GZSD,55,T,,1,1.00,,,,,,0,2713,VR100095
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,24,GZSD,59,T,,1,2.00,,,,,,0,2713,VR100096
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,25,GZSD,57,T,,1,2.00,,,,,,0,2713,VR100094
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,26,GZSD,56,T,,1,2.00,,,,,,0,2713,VR100097
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,28,GZSD,58,T,,1,2.00,,,,,,0,2713,VR100099
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,33,GZSD,72,T,,1,4.00,,,,,,0,2713,VR100104
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,29,GZSD,55,T,,1,2.00,,,,,,0,2713,VR100100
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,12,GZSD,68,T,,1,4.00,,,,,,0,2713,VR100083
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,11,GZSD,68,T,,1,3.00,,,,,,0,2713,VR100082
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,10,GZSD,67,T,,1,3.00,,,,,,0,2713,VR100081
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,9,GZSD,56,T,,1,2.00,,,,,,0,2713,VR100141
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,8,GZSD,356,T,,1,498.00,,,,,,0,2713,VR100142
,11007764,1,0,BWC-S,7/9/2018,7:29:00 AM,7/9/2018,7:44:00 AM,4,D17.RS,D,1,,7,M-,200,0,15,4460,4400,200,,22,,60,,25,,15,542779,4936158,,542779,4936158,2,1,79,,23.4,,1.9,,573,,0.03,,5.3,,,,,2,,2,1,1,0,0,0,1,0,1,0,,0,,53,,1,1,13,GZSD,65,T,,1,2.00,,,,,,0,2713,VR100084
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,20,ERSN,73,T,,1,3.00,,,,,,0,2713,VR100113
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,19,ERSN,74,T,,1,3.00,,,,,,0,2713,VR100112
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,18,ERSN,81,T,,1,4.00,,,,,,0,2713,VR100111
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,17,ERSN,73,T,,1,3.00,,,,,,0,2713,VR100110
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,21,ERSN,67,T,,1,2.00,,,,,,0,2713,VR100114
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,15,ERSN,60,T,,1,1.00,,,,,,0,2713,VR100108
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,26,ERSN,65,T,,1,2.00,,,,,,0,2713,VR100119
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,11,GZSD,71,T,,1,3.00,,,,,,0,2713,VR100106
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,16,ERSN,65,T,,1,2.00,,,,,,0,2713,VR100109
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,22,ERSN,73,T,,1,3.00,,,,,,0,2713,VR100115
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,23,ERSN,66,T,,1,2.00,,,,,,0,2713,VR100116
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,25,ERSN,68,T,,1,2.00,,,,,,0,2713,VR100118
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,10,GZSD,74,T,,1,4.00,,,,,,0,2713,VR100105
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,27,ERSN,77,T,,1,4.00,,,,,,0,2713,VR100120
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,28,ERSN,70,T,,1,3.00,,,,,,0,2713,VR100121
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,29,ERSN,67,T,,1,2.00,,,,,,0,2713,VR100122
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,30,ERSN,65,T,,1,2.00,,,,,,0,2713,VR100123
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,31,ERSN,64,T,,1,2.00,,,,,,0,2713,VR100124
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,32,ERSN,73,T,,1,3.00,,,,,,0,2713,VR100125
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,24,ERSN,67,T,,1,2.00,,,,,,0,2713,VR100117
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,8,FWDM,234,T,,1,159.00,,,,,,0,2713,VR100010
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,7,FWDM,272,T,,1,267.00,,,,,,0,2713,VR100009
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,6,FWDM,308,T,,1,328.00,,,,,,0,2713,VR100144
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,5,FWDM,288,T,,1,295.00,,,,,,0,2713,VR100008
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,4,FWDM,357,T,,1,562.00,,,,,,0,2713,VR100143
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,12,GZSD,70,T,,1,3.00,,,,,,0,2713,VR100107
,11007765,1,0,SCB,7/9/2018,8:26:00 AM,7/9/2018,8:41:00 AM,4,D9.RS,D,1,,5,M-,200,0,15,4756,4715,205,,23,,60,,25,,15,541929,4935358,,541929,4935358,2,1,48,,27.2,,1.6,,592,,0.38,,9.3,,,,,1,,1,2,1,0,0,0,0,0,1,0,,0,,44,,1,1,9,BLGL,162,T,,1,99.00,,,,,,0,2713,VR100011
,11007766,1,0,SCB,7/9/2018,9:16:00 AM,7/9/2018,9:31:00 AM,4,D10.RS,D,1,,7,M-,200,0,15,4885,5075,203,,25,,60,,25,,15,541829,4935358,,541829,4935358,2,1,68,,25.4,,2,,642,,0.16,,12.9,,,,,2,,2,2,0,0,0,0,0,0,1,0,,0,,99,,1,1,20,ERSN,77,T,,1,3.00,,,,,,0,2713,VR100137
,11007766,1,0,SCB,7/9/2018,9:16:00 AM,7/9/2018,9:31:00 AM,4,D10.RS,D,1,,7,M-,200,0,15,4885,5075,203,,25,,60,,25,,15,541829,4935358,,541829,4935358,2,1,68,,25.4,,2,,642,,0.16,,12.9,,,,,2,,2,2,0,0,0,0,0,0,1,0,,0,,99,,1,1,27,GZSD,36,T,1,1,.,,,,,,0,2713,VR100203
,11007766,1,0,SCB,7/9/2018,9:16:00 AM,7/9/2018,9:31:00 AM,4,D10.RS,D,1,,7,M-,200,0,15,4885,5075,203,,25,,60,,25,,15,541829,4935358,,541829,4935358,2,1,68,,25.4,,2,,642,,0.16,,12.9,,,,,2,,2,2,0,0,0,0,0,0,1,0,,0,,99,,1,1,26,GZSD,33,T,1,1,.,,,,,,0,2713,VR100202
,11007766,1,0,SCB,7/9/2018,9:16:00 AM,7/9/2018,9:31:00 AM,4,D10.RS,D,1,,7,M-,200,0,15,4885,5075,203,,25,,60,,25,,15,541829,4935358,,541829,4935358,2,1,68,,25.4,,2,,642,,0.16,,12.9,,,,,2,,2,2,0,0,0,0,0,0,1,0,,0,,99,,1,1,25,GZSD,33,T,1,1,.,,,,,,0,2713,VR100201
